{[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[2.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0];negative}
{[3.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0];negative}
{[4.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[5.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[6.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0];negative}
{[7.0, 1.0, 1.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0];negative}
{[8.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[9.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[10.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0];negative}
{[11.0, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0];negative}
{[12.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[13.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[14.0, 1.0, 3.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0];negative}
{[15.0, 1.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0];negative}
{[16.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[17.0, 1.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[18.0, 1.0, 4.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0];negative}
{[19.0, 1.0, 4.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0];negative}
{[20.0, 1.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[21.0, 1.0, 5.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[22.0, 1.0, 5.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0];negative}
{[23.0, 1.0, 5.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0];negative}
{[24.0, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[25.0, 1.0, 6.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[26.0, 1.0, 6.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0];negative}
{[27.0, 1.0, 6.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0];negative}
{[28.0, 1.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[29.0, 1.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[30.0, 1.0, 7.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0];negative}
{[31.0, 1.0, 7.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0];negative}
{[32.0, 1.0, 8.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[33.0, 1.0, 8.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[34.0, 1.0, 8.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0];negative}
{[35.0, 1.0, 8.0, 3.0, 1.0, 0.0, 0.0, 1.0, 1.0];negative}
